case_id,activity,timestamp
1,Satın Alma Talebi Oluşturuldu,2024-06-13T21:00:18+00:00
1,Talep Onaya Gönderildi,2024-06-14T00:44:39+00:00
1,Talep Onaylandı,2024-06-14T06:08:50+00:00
1,Satın Alma Siparişi Oluşturuldu,2024-06-15T00:30:20+00:00
1,Tedarikçiye Gönderildi,2024-06-15T02:34:08+00:00
1,Tedarikçi Onayladı,2024-06-15T09:33:40+00:00
1,Mal/Hizmet Alındı,2024-06-18T04:01:33+00:00
1,Fatura Alındı,2024-06-23T09:10:05+00:00
1,Ödeme Yapıldı,2024-06-23T14:18:41+00:00
2,Satın Alma Talebi Oluşturuldu,2025-02-23T15:15:53+00:00
2,Talep Onaya Gönderildi,2025-02-23T17:03:10+00:00
2,Talep Onaylandı,2025-02-23T22:33:37+00:00
2,Satın Alma Siparişi Oluşturuldu,2025-02-24T20:31:00+00:00
2,Tedarikçiye Gönderildi,2025-02-24T23:30:50+00:00
2,Tedarikçi Onayladı,2025-02-25T03:42:25+00:00
2,Mal/Hizmet Alındı,2025-02-28T03:35:20+00:00
2,Fatura Alındı,2025-03-04T16:43:55+00:00
2,Ödeme Yapıldı,2025-03-04T20:43:55+00:00
3,Satın Alma Talebi Oluşturuldu,2024-03-27T04:00:28+00:00
3,Talep Onaya Gönderildi,2024-03-27T05:27:58+00:00
3,Talep Onaylandı,2024-03-27T08:25:34+00:00
3,Satın Alma Siparişi Oluşturuldu,2024-03-28T02:02:08+00:00
3,Tedarikçiye Gönderildi,2024-03-28T06:01:04+00:00
3,Tedarikçi Onayladı,2024-03-28T11:51:55+00:00
3,Mal/Hizmet Alındı,2024-03-30T16:28:05+00:00
3,Fatura Alındı,2024-04-04T00:38:03+00:00
3,Fatura Uyuşmazlığı,2024-04-04T08:09:55+00:00
3,Fatura Düzeltildi,2024-04-04T18:48:14+00:00
3,Ödeme Yapıldı,2024-04-07T16:02:26+00:00
4,Satın Alma Talebi Oluşturuldu,2024-03-30T23:23:57+00:00
4,Talep Onaya Gönderildi,2024-03-31T02:26:39+00:00
4,Talep Onaylandı,2024-03-31T07:39:58+00:00
4,Satın Alma Siparişi Oluşturuldu,2024-03-31T17:00:09+00:00
4,Tedarikçiye Gönderildi,2024-03-31T21:12:26+00:00
